Rank,City,Population,State or union territory
1,Mumbai,"12,442,373",Maharashtra
2,Delhi,"11,034,555",Delhi
3,Bangalore,"8,443,675",Karnataka
4,Hyderabad,"6,731,790",Telangana
5,Ahmedabad,"5,577,940",Gujarat
6,Chennai,"4,646,732",Tamil Nadu
7,Kolkata ,"4,496,694",West Bengal
8,Surat,"4,467,797",Gujarat
9,Pune,"3,124,458",Maharashtra
10,Jaipur,"3,046,163",Rajasthan
11,Lucknow,"2,817,105",Uttar Pradesh
12,Kanpur,"2,765,348",Uttar Pradesh
13,Nagpur,"2,405,665",Maharashtra
14,Indore,"1,964,086",Madhya Pradesh
15,Thane,"1,841,488",Maharashtra
16,Bhopal,"1,798,218",Madhya Pradesh
17,Visakhapatnam,"1,728,128",Andhra Pradesh
18,Pimpri-Chinchwad,"1,727,692",Maharashtra
19,Patna,"1,684,222",Bihar
20,Vadodara,"1,670,806",Gujarat
21,Ghaziabad,"1,648,643",Uttar Pradesh
22,Ludhiana,"1,618,879",Punjab
23,Agra,"1,585,704",Uttar Pradesh
24,Nashik,"1,486,053",Maharashtra
25,Faridabad,"1,414,050",Haryana
26,Meerut,"1,305,429",Uttar Pradesh
27,Rajkot,"1,286,678",Gujarat
28,Kalyan-Dombivali,"1,247,327",Maharashtra
29,Vasai-Virar,"1,222,390",Maharashtra
30,Varanasi,"1,198,491",Uttar Pradesh
31,Srinagar,"1,180,570",Jammu and Kashmir
32,Aurangabad,"1,175,116",Maharashtra
33,Dhanbad,"1,162,472",Jharkhand
34,Amritsar,"1,132,383",Punjab
35,Navi Mumbai,"1,120,547",Maharashtra
36,Allahabad,"1,112,544",Uttar Pradesh
37,Howrah,"1,077,075",West Bengal
38,Ranchi,"1,073,427",Jharkhand
39,Gwalior,"1,069,276",Madhya Pradesh
40,Jabalpur,"1,055,525",Madhya Pradesh
41,Coimbatore,"1,050,721",Tamil Nadu
42,Vijayawada,"1,034,358",Andhra Pradesh
43,Jodhpur,"1,033,918",Rajasthan
44,Madurai,"1,017,865",Tamil Nadu
45,Raipur,"1,010,087",Chhattisgarh
46,Kota,"1,001,694",Rajasthan
47,Chandigarh,"961,587",Chandigarh
48,Guwahati,"957,352",Assam
49,Solapur,"951,558",Maharashtra
50,Hubballi-Dharwad,"943,788",Karnataka
51,Tiruchirappalli,"916,674",Tamil Nadu
52,Bareilly,"898,167",Uttar Pradesh
53,Mysore,"887,446",Karnataka
54,Tiruppur,"877,778",Tamil Nadu
55,Gurgaon,"876,824",Haryana
56,Aligarh,"872,575",Uttar Pradesh
57,Jalandhar,"862,196",Punjab
58,Bhubaneswar,"837,737",Odisha
59,Salem,"831,038",Tamil Nadu
60,Mira-Bhayandar,"814,655",Maharashtra
61,Warangal,"811,844",Telangana
62,Thiruvananthapuram,"752,490",Kerala
63,Guntur,"743,354",Andhra Pradesh
64,Bhiwandi,"711,329",Maharashtra
65,Saharanpur,"703,345",Uttar Pradesh
66,Gorakhpur,"671,048",Uttar Pradesh
67,Bikaner,"647,804",Rajasthan
68,Amravati,"646,801",Maharashtra
69,Noida,"642,381",Uttar Pradesh
70,Jamshedpur,"631,364",Jharkhand
71,Bhilai,"625,697",Chhattisgarh
72,Cuttack,"606,007",Odisha
73,Firozabad,"603,797",Uttar Pradesh
74,Kochi,"601,574",Kerala
75,Nellore,"600,869",Andhra Pradesh
76,Bhavnagar,"593,768",Gujarat
77,Dehradun,"578,420",Uttarakhand
78,Durgapur,"566,937",West Bengal
79,Asansol,"564,491",West Bengal
80,Rourkela,"552,734",Odisha
81,Nanded,"550,564",Maharashtra
82,Kolhapur,"549,283",Maharashtra
83,Ajmer,"542,580",Rajasthan
84,Akola,"537,149",Maharashtra
85,Gulbarga,"532,031",Karnataka
86,Jamnagar,"529,308",Gujarat
87,Ujjain,"515,215",Madhya Pradesh
88,Loni,"512,296",Uttar Pradesh
89,Siliguri,"509,709",West Bengal
90,Jhansi,"507,293",Uttar Pradesh
91,Ulhasnagar,"506,937",Maharashtra
92,Jammu,"503,690",Jammu and Kashmir
93,Sangli-Miraj & Kupwad,"502,697",Maharashtra
94,Mangalore,"499,486",Karnataka
95,Erode,"498,129",Tamil Nadu
96,Belgaum,"488,292",Karnataka
97,Ambattur,"478,134",Tamil Nadu
98,Tirunelveli,"473,637",Tamil Nadu
99,Malegaon,"471,006",Maharashtra
