bidno,item,department,startdate,enddate
BID NO: GEM/2019/B/249702,All In One PC,"Ministry Of Finance
Department Of Revenue
Central Goods And Service Tax, Audit Commissionerate, Lucknow Central Board Of Excise And Customs (cbec)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/249735,Chairs-office,"Ministry Of Environment Forest And Climate Change
Na
Nehru Nagar Bhopal Indian Institute Of Forest Management (iifm) Bhopal Madhya Pradesh",04-06-2019 04:45 PM,12-06-2019 07:00 PM
RA NO: GEM/2019/RA/9835,Restaurant Table,"Ministry Of Home Affairs
Central Armed Police Forces
28bn Indo Tibetan Border Police (itbp)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/250229,Air Conditioner,"Ministry Of Health And Family Welfare
Department Of Health And Family Welfare
Patna All India Institute Of Medical Sciences (aiims)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/249767,Spirit Level,"Ministry Of Defence
Department Of Defence
Hq Ce(p) Himank /border Roads Organisation N/a",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/250232,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI","Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/250234,Multimedia Projectors,"Ministry Of Railways
Na
South Central Railway N/a",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/250235,"Package No.3 ATAL TINKERING LAB OF NITI AAYOG MECHANICAL, ELECTRICAL And MEASUREMENT TOOLS","Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
RA NO: GEM/2019/RA/9840,STEEL BODY EVAPORATIVE COOLERS- DESERT COOLER,"Maharashtra
Tribal Development Department Maharashtra
Mantralaya, Mumbai N/a",04-06-2019 04:45 PM,12-06-2019 07:00 PM
BID NO: GEM/2019/B/250237,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,"Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
